PART_KEYWORD,PART_NUMBER,BUCKET_TYPE,PART_COST_AMT,PART_PRICE_AMT,PART_QTY,COST,MODULE,Work order,ESN,GATE_NUMBER,SHOP_NAME,SHOP_VISIT_TYPE_NAME,CURRENT_GATE_DESC,ENG_MODEL_NM,COST_IND,INCL_QUANTITY,EXCL_QUANTITY,INCL_PRICE,EXCL_PRICE,INCL_COST,EXCL_COST,TYPE,FM_YEAR,EXCL_TYPE,COMMENTS,ESC_TRUE_GE_COST_AMT,PART_TRUE_COST_AMT
BLADE - FAN,340-161-303-0,External Repair,17250.08,17250.08,11.5656,17250.08,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,11.5656004,0,17250.08109,0,17250.08109,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Internal Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Non LLP New Material,7185.56,11781.08,0.126,7185.56,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.450000018,-0.324000001,11781.08069,0,7185.561523,0,BUM,2014,Scrap,,2298.64,
BLADE - FAN,340-161-303-0,Non LLP Used Material,2748.92,2748.92,0.042,2748.92,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.150000006,-0.107999995,2748.919619,0,2748.919619,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,Internal Repair,4179.25,15013.85,0.9555,4179.25,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.955500007,0,15013.84901,0,4179.248847,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 4,340-058-402-0,Non LLP New Material,644.61,3061.76,0.0128,644.61,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,-0.02475,2795.49085,0,644.6064723,0,BUM,2014,Scrap,,606.97,
VANE - BOOSTER STG 4,340-058-402-0,Non LLP Used Material,652.28,652.28,0.0043,652.28,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.0125,-0.00825,652.2754093,0,652.2754093,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 1,340-001-308-0,Internal Repair,5037.07,18095.51,0.9358,5037.07,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.935800016,0,18095.51123,0,5037.065485,0,BUM,2014,Scrap,,,
